rho1	rho2	rho3	rho4	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	culture_group
0.1	0.2	0.3	0.4	53.76	7.602335277294296	9.8	3.4153174589541013	7.92	0.17923046887463878	4.187017818340193	1.3817163677471616	0.4942333404307647	0.9894680749607495	0.20408163265306123	0.2127659574468085	49.0	47.0	80
0.1	0.2	0.3	0.4	33.54	7.885318167376622	8.61	3.379094054249053	6.33	0.2759887374252448	4.506224113127569	1.230104672368869	0.5616824804867384	0.8776136451836372	0.2777777777777778	0.29411764705882354	36.0	34.0	80
0.1	0.2	0.3	0.4	45.9	5.776924627904431	9.09	3.5525824322506434	8.08	0.1810854244795173	2.2243421956537874	1.3545256965577193	0.4705673775981418	0.8628902314400186	0.2127659574468085	0.0	47.0	0.0	80
0.1	0.2	0.3	0.4	15.88	6.382745963659786	4.97	2.595298247851146	5.02	0.4766901333274094	3.7874477158086415	1.4533354765003401	0.6932313974573242	1.0238236053707817	0.7059550723517862	0.6666666666666666	7.0	9.0	80
0.1	0.2	0.3	0.4	38.49	8.193695701893638	6.96	4.004791817853027	7.72	0.256610231438106	4.188903884040617	1.2123224986887142	0.709726196375745	0.965467035533118	0.30303030303030304	0.30303030303030304	33.0	33.0	80
0.1	0.2	0.3	0.4	33.52	5.645355537706332	9.29	3.0197315673338703	7.53	0.27027632821644443	2.6256239703724633	1.1948573950142565	0.40816501168392866	0.8720363508454274	0.3103448275862069	0.3333333333333333	29.0	27.0	80
0.1	0.2	0.3	0.4	29.76	5.195934653891929	9.24	2.706566895132404	6.9	0.32182671217921544	2.4893677587595255	1.3140993955303442	0.5195232768193	0.9730658489552814	0.29411764705882354	0.29411764705882354	34.0	34.0	80
0.1	0.2	0.4	0.3	76.81	11.14588984751148	8.5	2.72414922826801	5.95	0.09420452183548196	8.421740619243469	1.724621728430111	0.5591709825589604	0.9508451673289464	0.12048192771084337	0.11904761904761904	83.0	84.0	90
0.1	0.2	0.4	0.3	96.27	5.771767612891316	9.4	3.3813235218484348	6.77	0.09213807663090247	2.39044409104288	1.4602415293601028	0.4334318584958556	0.9136432789802034	0.1	0.10309278350515463	100.0	97.0	90
0.1	0.2	0.4	0.3	110.07	8.493466691150564	9.5	2.9599212904206773	6.65	0.08306508869854272	5.533545400729891	1.5750427556405353	0.5080059840799939	1.0835799705199352	0.10416666666666667	0.10204081632653061	96.0	98.0	90
